DATES,CONFIRMED,RECOVERED,DEATH
01/22/20,555,28,17
01/23/20,653,30,18
01/24/20,941,36,26
01/25/20,1434,39,42
01/26/20,2118,52,56
01/27/20,2927,61,82
01/28/20,5578,107,131
01/29/20,6166,126,133
01/30/20,8234,143,171
01/31/20,9927,222,213
02/01/20,12038,284,259
02/02/20,16787,472,362
02/03/20,19881,623,426
02/04/20,23892,852,492
02/05/20,27635,1124,564
02/06/20,30817,1487,634
02/07/20,34391,2011,719
02/08/20,37120,2616,806
02/09/20,40150,3244,906
02/10/20,42762,3946,1013
02/11/20,44802,4683,1113
02/12/20,45221,5150,1118
02/13/20,60368,6295,1371
02/14/20,66885,8058,1523
02/15/20,69030,9395,1666
02/16/20,71224,10865,1770
02/17/20,73258,12583,1868
02/18/20,75136,14352,2007
02/19/20,75639,16121,2122
02/20/20,76197,18177,2247
02/21/20,76823,18890,2251
02/22/20,78579,22886,2458
02/23/20,78965,23394,2469
02/24/20,79568,25227,2629
02/25/20,80413,27905,2708
02/26/20,81395,30384,2770
02/27/20,82754,33277,2814
02/28/20,84120,36711,2872
02/29/20,86011,39782,2941
03/01/20,88369,42716,2996
03/02/20,90306,45602,3085
03/03/20,92840,48228,3160
03/04/20,95120,51170,3254
03/05/20,97882,53796,3348
03/06/20,101784,55865,3460
03/07/20,105821,58358,3558
03/08/20,109795,60694,3802
03/09/20,113561,62494,3988
03/10/20,118592,64404,4262
03/11/20,125865,67003,4615
03/12/20,128343,68324,4720
03/13/20,145193,70251,5404
03/14/20,156102,72624,5819
